,Titulo,Categoria,Año,Duracion,Cal. de critica,Cal. de usuarios
0,7 Days to Die ,Action & adventure,2016.0,59.0,35.0,5.6
1,A Short Hike ,Action & adventure,2021.0,1.5,,8.1
2,A Way Out ,Action & adventure,2018.0,6.5,79.0,7.8
3,Age of Empires II: Definitive Edition ,Strategy,2023.0,42.5,,9.0
4,Age of Empires IV: Anniversary Edition ,Strategy,2023.0,28.5,,
5,Airborne Kingdom ,Action & adventure,2021.0,7.5,,
6,Alice: Madness Returns ,Action & adventure,2011.0,14.0,70.0,8.3
7,Amnesia: Collection ,Action & adventure,2018.0,16.0,79.0,8.2
8,Amnesia: Rebirth ,Action & adventure,2022.0,8.5,,8.3
9,Amnesia: The Bunker ,Action & adventure,2023.0,5.5,,5.7
10,Among Us ,Action & adventure,2021.0,21.5,,
11,Anthem ,Action & adventure,2019.0,14.0,65.0,4.0
12,ANVIL : Vault Breaker Game Preview,Shooter,2021.0,3.0,,
13,Arcade Paradise ,Simulation,2022.0,26.0,,
14,ARK Ultimate Survivor Edition,Action & adventure,2021.0,32.5,69.0,6.2
15,Army of Two ,Shooter,2009.0,6.5,72.0,7.5
16,As Dusk Falls ,Action & adventure,2022.0,7.0,,6.8
17,Assassin's Creed Odyssey ,Action & adventure,2018.0,45.5,87.0,6.4
18,Assassin's Creed Origins ,Action & adventure,2017.0,30.0,85.0,7.7
19,Astroneer ,Action & adventure,2019.0,22.5,73.0,7.0
20,Atomic Heart ,Action & adventure,2023.0,16.0,,6.3
21,Back 4 Blood Standard Edition,Shooter,2021.0,12.0,,6.2
22,Banjo-Kazooie ,Classics,2010.0,11.5,77.0,8.3
23,Banjo-Kazooie: Nuts & Bolts ,Action & adventure,2010.0,16.0,79.0,6.7
24,Banjo-Tooie ,Action & adventure,2010.0,17.0,73.0,8.4
25,Batman: Arkham Knight ,Action & adventure,2015.0,17.0,85.0,7.5
26,Battlefield 1: Revolution ,Action & adventure,2017.0,7.0,,4.0
27,Battlefield 1943 ,Action & adventure,2010.0,11.0,83.0,7.9
28,Battlefield 2042 ,Shooter,2021.0,58.5,,1.4
29,Battlefield 3 ,Shooter,2011.0,6.5,84.0,7.5
30,Battlefield 4 ,Shooter,2013.0,6.5,81.0,6.8
31,Battlefield Hardline ,Shooter,2015.0,7.5,71.0,5.3
32,Battlefield V ,Shooter,2018.0,6.5,78.0,3.1
33,Battlefield: Bad Company ,Action & adventure,2010.0,7.5,88.0,8.6
34,Battlefield: Bad Company 2 ,Action & adventure,2010.0,7.0,88.0,8.6
35,Battletoads ,Action & adventure,2020.0,4.0,72.0,6.5
36,Bejeweled 2 ,Puzzle & trivia,2005.0,1.5,69.0,6.3
37,Bejeweled 3 ,Family & kids,2011.0,4.5,78.0,8.3
38,Ben 10: Power Trip ,Action & adventure,2020.0,4.5,,6.0
39,Besiege Game Preview,Simulation,2023.0,5.5,,
40,Black ,Shooter,2008.0,5.5,77.0,8.0
41,BlazBlue: Cross Tag Battle Special Edition,Fighting,2023.0,4.5,,
42,Bleeding Edge ,Fighting,2020.0,,66.0,6.2
43,BLiNX: The Time Sweeper ,Platformer,2018.0,11.0,71.0,7.6
44,Bramble: The Mountain King ,Action & adventure,2023.0,5.0,,9.1
45,Broforce ,Action & adventure,2019.0,7.0,,
46,Broken Age ,Action & adventure,2017.0,10.5,78.0,5.3
47,Brütal Legend ,Action & adventure,2009.0,9.5,82.0,8.0
48,Burnout Paradise Remastered ,Racing & flying,2018.0,11.5,79.0,7.1
49,Call of the Wild: The Angler™ ,Simulation,2023.0,,,
50,Car Mechanic Simulator 2021 ,Racing & flying,2023.0,23.0,,7.3
51,Cassette Beasts ,Role playing,2023.0,17.5,,
52,Celeste ,Platformer,2018.0,8.5,94.0,7.7
53,Chained Echoes ,Role playing,2022.0,34.0,,8.2
54,Chicory: A Colorful Tale ,Action & adventure,2023.0,9.5,,
55,Chivalry 2 ,Action & adventure,2021.0,,,5.5
56,Cities: Skylines Xbox One Edition,Simulation,2017.0,28.5,81.0,6.5
57,Citizen Sleeper ,Action & adventure,2022.0,6.5,,
58,Cocoon ,Action & adventure,2023.0,3.5,,
59,Coffee Talk Episode 2: Hibiscus and Butterfly ,Word,2023.0,,,
60,Common'hood ,Simulation,2023.0,,,
61,Conan Exiles ,Action & adventure,2018.0,44.0,64.0,5.3
62,Contrast ,Platformer,2014.0,3.5,,6.0
63,Cooking Simulator ,Simulation,2020.0,9.0,,
64,Costume Quest ,Action & adventure,2010.0,5.5,65.0,6.6
65,Costume Quest 2 ,Action & adventure,2014.0,6.5,65.0,6.6
66,Crackdown 3 ,Action & adventure,2019.0,7.0,60.0,4.3
67,Cricket 22 ,Sports,2021.0,23.5,,8.0
68,Crimson Skies: High Road to Revenge ,Racing & flying,2003.0,7.5,88.0,8.8
69,Crysis ,Shooter,2011.0,10.0,81.0,7.7
70,Crysis 2 ,Shooter,2011.0,9.0,84.0,7.6
71,Crysis 3 ,Shooter,2013.0,7.0,76.0,6.9
72,Dante's Inferno ,Action & adventure,2010.0,8.5,73.0,7.7
73,Darkest Dungeon ,Action & adventure,2018.0,57.0,,9.3
74,Day of the Tentacle Remastered ,Action & adventure,2020.0,5.0,,6.6
75,DayZ ,Action & adventure,2019.0,53.5,56.0,3.7
76,Dead by Daylight Special Edition,Action & adventure,2017.0,564.0,58.0,4.5
77,Dead Cells ,Action & adventure,2018.0,15.0,91.0,8.2
78,Dead Space ,Action & adventure,2010.0,11.0,89.0,8.8
79,Dead Space 2 ,Action & adventure,2011.0,9.0,90.0,8.7
80,Dead Space 3 ,Action & adventure,2013.0,13.0,78.0,6.5
81,Dead Space Ignition ,Action & adventure,2010.0,1.5,35.0,4.3
82,Death's Door ,Action & adventure,2021.0,9.0,87.0,7.1
